//*/div;--;1.53142857143
//*/div[contains(@class, 'col-10')][contains(@id, 'contentBody')];--;0.0
//*/div[contains(@class, 'ad-mpu-bottom')][contains(@id, 'mpu-bottom-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'col-6 ratings')];--;0.0
//*/div[contains(@class, 'ad-skin')][contains(@id, 'skin-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'innerRating s84')];--;0.0
//*/div[contains(@class, 'container inDepth')][contains(@id, 'rbContent')];--;0.0
//*/div[contains(@class, 'reviewDate')];--;0.0
//*/div[contains(@class, 'col-5')][contains(@id, 'editorSubRating')];--;0.0
//*/div[contains(@class, 'ad-info-buttons-top')][contains(@id, 'info-buttons-top-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'page1 speakers')];--;0.0
//*/div[contains(@class, 'row author-details')];--;0.0
//*/div[contains(@class, 'livefyreConversationAsync')][contains(@id, 'livefyreConversation')];--;0.0
//*/article[contains(@id, 'cnetReview')];--;0.0
//*/div[contains(@class, 'menu')][contains(@id, 'download')];--;1.23076923077
//*/div[contains(@class, 'ad-leader-bottom')][contains(@id, 'leader-bottom-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'fixation')];--;0.0
//*/div[contains(@class, 'tpPlayerCard tpAgeNotVerifiedCard')];--;0.0
//*/div[contains(@id, 'primary')];--;1.11111111111
//*/div[contains(@class, 'ad-social-logo-bottom')][contains(@id, 'social-logo-bottom-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'cnetVideoPlayer hide')];--;0.0
//*/div[contains(@class, 'userStarRating')];--;0.0
//*/div[contains(@class, 'col-2 leftSpace')];--;0.0
//*/div[contains(@class, 'col-8')][contains(@id, 'compareUnitBottom')];--;0.0
//*/div[contains(@class, 'content-subnav')];--;0.0
//*/div[contains(@class, 'col-1 overall')];--;0.0
//*/div[contains(@class, 'col-2 sideNav')];--;0.0
//*/div[contains(@id, 'secondary')];--;0.0
//*/nav[contains(@class, 'pagination')];--;0.0
//*/div[contains(@class, 'ad-omnibar-top')][contains(@id, 'omnibar-top-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'livefyreFooter')];--;1.56756756757
//*/div[contains(@class, 'col-7 author-info')];--;0.0
//*/div[contains(@id, 'rbSkin')];--;0.0
//*/div[contains(@class, 'col-2')];--;0.782608695652
//*/div[contains(@class, 'col-12 injectedAd')];--;0.0
//*/div[contains(@class, 'wrapper')];--;0.0
//*/div[contains(@class, 'col-6 middleColumn')];--;0.0
//*/div[contains(@class, 'col-12')][contains(@id, 'footerCopyright')];--;1.72
//*/span[contains(@class, 'authors')];--;0.0
//*/div[contains(@class, 'col-6 latestNews')];--;0.0
//*/div[contains(@id, 'customPlayerCards')];--;0.0
//*/div[contains(@class, 'viewport')];--;0.0
//*/div[contains(@class, 'container lowerSection reviewBody page1')];--;0.0
//*/nav[contains(@id, 'primaryNav')];--;0.0
//*/div[contains(@class, 'container')];--;0.0
//*/div[contains(@class, 'col-2 leftColumn')];--;0.0
//*/div[contains(@class, 'menu double')][contains(@id, 'newsMenu')];--;1.11111111111
//*/div[contains(@class, 'menu single')][contains(@id, 'gamesMenu')];--;1.0
//*/div[contains(@class, 'menu single')][contains(@id, 'howtoMenu')];--;1.09090909091
//*/div[contains(@class, 'msrpHover')];--;0.0
//*/div[contains(@class, 'reviewBody row')];--;0.0
//*/div[contains(@id, 'omnibar_top')];--;0.0
//*/span[contains(@class, 'editorStar')];--;0.0
//*/div[contains(@class, 'cover')];--;0.0
//*/div[contains(@class, 'outerRating s84')];--;0.0
//*/div[contains(@class, 'col-4')];--;0.0
//*/div[contains(@class, 'col-10 middleRight')];--;0.0
//*/div[contains(@class, 'productSideNav')];--;0.0
//*/div[contains(@class, 'autoplayControls')];--;0.0
//*/div[contains(@class, 'editorsRating')];--;0.0
//*/div[contains(@class, 'outerWholeCircle')];--;0.0
//*/div[contains(@class, 'controls controlArrows')];--;0.0
//*/div[contains(@class, 'popOnScroll-close')];--;0.0
//*/span[contains(@class, 'edRate s4 large')];--;0.0
//*/div[contains(@class, 'ad-leader-top')][contains(@id, 'leader-top-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'editorStarRating showSub')][contains(@id, 'editorStarRatingModal')];--;0.0
//*/div[contains(@class, 'dragHandle')];--;0.0
//*/div[contains(@class, 'socialWrapper')];--;0.0
//*/div[contains(@class, 'livefyreContainer')][contains(@id, 'livefyreContainer')];--;0.0
//*/span[contains(@class, 'icon-_generic icon-speakers')];--;0.0
//*/nav;--;0.555555555556
//*/div[contains(@class, 'ad-intromercial')][contains(@id, 'intromercial-5632325bbd37c')];--;0.0
//*/section[contains(@class, 'step0')][contains(@id, 'mediaCarousel')];--;0.0
//*/div[contains(@class, 'menu single')][contains(@id, 'editionMenu')];--;0.0
//*/div[contains(@class, 'menuWrapper')];--;1.86885245902
//*/header[contains(@class, 'page-header')][contains(@id, 'rbHeader')];--;0.0
//*/footer[contains(@id, 'rbFooter')];--;0.0
//*/span[contains(@class, 'menuHead')];--;1.42857142857
//*/div[contains(@class, 'col-4 rightColumn')];--;0.0
//*/div[contains(@class, 'ad-inline-product-carousel-top')][contains(@id, 'inline-product-carousel-top-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'stars')];--;0.0
//*/div[contains(@class, 'innerWholeCircle')];--;0.0
//*/div[contains(@class, 'drag')];--;0.0
//*/div[contains(@id, 'loadingCircle')];--;0.0
//*/span[contains(@class, 'text')];--;0.0
//*/span;--;1.42857142857
//*/div[contains(@class, 'relatedReviews')];--;0.0
//*/div[contains(@class, 'right pie')];--;0.0
//*/div[contains(@class, 'col-1 profilePic')];--;0.0
//*/div[contains(@class, 'col-8')];--;0.997435239805
//*/div[contains(@class, 'menuHead')];--;1.44444444444
//*/div[contains(@class, 'menu single')][contains(@id, 'headerLogin')];--;0.0
//*/div[contains(@class, 'row about-author')];--;0.0
//*/div[contains(@class, 'left pie')];--;0.0
//*/div[contains(@class, 'menu double active')][contains(@id, 'reviewsMenu')];--;0.0
//*/div[contains(@class, 'mask')];--;0.0
//*/div[contains(@class, 'popControls')];--;0.0
//*/div[contains(@id, 'socialHeader')];--;1.3
//*/div[contains(@class, 'col-8 livefyreWrapper control')];--;0.0
//*/div[contains(@class, 'metaData')];--;0.0
//*/div[contains(@class, 'quickInfo')];--;0.0
//*/div[contains(@class, 'menu double')][contains(@id, 'videoMenu')];--;1.0
//*/div[contains(@class, 'row')];--;0.0
//*/div[contains(@class, 'description')][contains(@id, 'editorReview')];--;0.0
//*/div[contains(@class, 'ad-replay-wide-top')][contains(@id, 'replay-wide-top-5632325bbd37c')];--;0.0
//*/div[contains(@class, 'close')];--;0.0
//*/div[contains(@class, 'productMediaCarousel')];--;0.0
//*/div[contains(@class, 'tpPlayerCard tpResumePlaybackCard')][contains(@id, 'tpAgeVerificationCard')];--;1.81609195402
//*/div[contains(@class, 'scoreCard')];--;0.0
//*/div[contains(@class, 'ad-mpu-top')][contains(@id, 'mpu-top-5632325bbd37c')];--;0.0
//*/div;--;23.3946504655
//*/div;--;1.43417696348
//*/div[contains(@class, 'col-10')][contains(@id, 'contentBody')];--;0.0
//*/div[contains(@class, 'col-6 ratings')];--;0.0
//*/div[contains(@class, 'innerRating s84')];--;0.0
//*/div[contains(@class, 'container inDepth')][contains(@id, 'rbContent')];--;0.0
//*/div[contains(@class, 'reviewDate')];--;0.0
//*/div[contains(@class, 'col-5')][contains(@id, 'editorSubRating')];--;0.0
//*/div[contains(@class, 'menuWrapper')];--;0.934426229508
//*/div[contains(@class, 'page1 speakers')];--;0.0
//*/div[contains(@class, 'row author-details')];--;0.0
//*/div[contains(@class, 'livefyreConversationAsync')][contains(@id, 'livefyreConversation')];--;0.0
//*/div[contains(@class, 'ad-mpu-top')][contains(@id, 'mpu-top-5632354d468cb')];--;0.0
//*/article[contains(@id, 'cnetReview')];--;0.0
//*/div[contains(@class, 'menu')][contains(@id, 'download')];--;0.615384615385
//*/div[contains(@class, 'fixation')];--;0.0
//*/div[contains(@class, 'tpPlayerCard tpAgeNotVerifiedCard')];--;0.0
//*/div[contains(@class, 'ad-info-buttons-top')][contains(@id, 'info-buttons-top-5632354d468cb')];--;0.0
//*/div[contains(@class, 'cnetVideoPlayer hide')];--;0.0
//*/div[contains(@class, 'userStarRating')];--;0.0
//*/div[contains(@class, 'col-2 leftSpace')];--;0.0
//*/div[contains(@class, 'col-8')][contains(@id, 'compareUnitBottom')];--;0.0
//*/div[contains(@class, 'content-subnav')];--;0.0
//*/div[contains(@class, 'col-1 overall')];--;0.0
//*/div[contains(@class, 'ad-leader-bottom')][contains(@id, 'leader-bottom-5632354d468cb')];--;0.0
//*/div[contains(@class, 'col-2 sideNav')];--;0.0
//*/div[contains(@id, 'secondary')];--;0.0
//*/nav[contains(@class, 'pagination')];--;0.0
//*/div[contains(@class, 'livefyreFooter')];--;0.783783783784
//*/div[contains(@class, 'col-7 author-info')];--;0.0
//*/div[contains(@class, 'ad-skin')][contains(@id, 'skin-5632354d468cb')];--;0.0
//*/div[contains(@id, 'rbSkin')];--;0.0
//*/div[contains(@class, 'col-2')];--;0.782608695652
//*/div[contains(@class, 'col-12 injectedAd')];--;0.0
//*/div[contains(@class, 'wrapper')];--;0.0
//*/div[contains(@class, 'col-6 middleColumn')];--;0.0
//*/div[contains(@class, 'col-12')][contains(@id, 'footerCopyright')];--;0.86
//*/span[contains(@class, 'authors')];--;0.0
//*/div[contains(@class, 'col-6 latestNews')];--;0.0
//*/div[contains(@id, 'customPlayerCards')];--;0.0
//*/div[contains(@class, 'viewport')];--;0.0
//*/div[contains(@class, 'container lowerSection reviewBody page1')];--;0.0
//*/nav[contains(@id, 'primaryNav')];--;0.0
//*/div[contains(@class, 'container')];--;0.0
//*/div[contains(@class, 'col-2 leftColumn')];--;0.0
//*/div[contains(@class, 'menu double')][contains(@id, 'newsMenu')];--;0.555555555556
//*/div[contains(@class, 'menu single')][contains(@id, 'gamesMenu')];--;0.5
//*/div[contains(@class, 'menu single')][contains(@id, 'howtoMenu')];--;0.545454545455
//*/div[contains(@class, 'msrpHover')];--;0.0
//*/div[contains(@class, 'reviewBody row')];--;0.0
//*/div[contains(@id, 'omnibar_top')];--;0.0
//*/span[contains(@class, 'editorStar')];--;0.0
//*/div[contains(@class, 'cover')];--;0.0
//*/div[contains(@class, 'ad-omnibar-top')][contains(@id, 'omnibar-top-5632354d468cb')];--;0.0
//*/div[contains(@class, 'ad-inline-product-carousel-top')][contains(@id, 'inline-product-carousel-top-5632354d468cb')];--;0.0
//*/div[contains(@class, 'outerRating s84')];--;0.0
