/html/body/div/section/article/div/aside/ul/li[3]/a/span;--;0.0
/html/body/div/section/section/aside;--;0.0
/html/body/div/section/article/section/div[1]/p[1]/aside;--;1.4
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[8]/a/span[2];--;0.0
/html/body/div/section/article/header/div/div/a/span;--;0.0
/html/body/div/header/nav/ul/li[3]/a/span;--;0.0
/html/body/div/footer/nav/div[1];--;1.82795698925
/html/body/div/section/article/header/div/div/ul/li[4]/a/span;--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[4]/a/span[1];--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/div/a/span[2];--;0.0
/html/body/div/section/article/section/div[1]/figure/figcaption/div[2];--;1.06666666667
/html/body/div/section/article/div/section[1]/div[1];--;1.30434782609
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[9]/a/span[2];--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[5]/a/span[1];--;0.0
/html/body/div/section/h1/a/span[3];--;0.0
/html/body/div/header/nav/ul/li[2]/div/aside/aside/ul/li[2]/a/span;--;0.0
/html/body/div/section/article/section/div[1]/p[1]/aside/h3/span;--;0.0
/html/body/div/section/article/header/div/div/ul/li[3]/a/span;--;0.0
/html/body/div/section/article/div;--;1.5
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[3]/a/span[1];--;0.0
/html/body/div/section/article/section/div[1]/div[3];--;1.86885245902
/html/body/div/section/article/div/aside/ul/li[1]/a/span;--;0.0
/html/body/div/header/nav/ul/li[2]/div;--;0.0
/html/body/div/section/article/div/footer;--;1.45454545455
/html/body/div/section/section/aside/div;--;0.0
/html/body/div/header/nav/ul/li[2]/div/div;--;1.95
/html/body/div/footer;--;0.0
/html/body/div/section/article/header/div;--;1.69230769231
/html/body/div/header/nav/ul/li[2]/div/div/div/a/span[3];--;0.0
/html/body/div/section/article/div/section[1]/div[1]/a/span[2];--;0.0
/html/body/div/section/article/section/div[1]/div[3]/figure/figcaption/div[1]/span;--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[9]/a/span[1];--;0.0
/html/body/div/section/section/li/aside;--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[7]/a/span[2];--;0.0
/html/body/div/header/nav/ul/li[3]/div;--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[3]/a/span[2];--;0.0
/html/body/div;--;0.0
/html/body/div/section/section/li/aside/div;--;0.0
/html/body/div/section/article/div/table/td[2]/a/span;--;0.0
/html/body/div/section/article/header/div/div;--;1.57575757576
/html/body/div/header/nav;--;1.97222222222
/html/body/div/section/article/section/nav/span;--;1.07692307692
/html/body/div/footer/nav/div[2];--;1.77049180328
/html/body/div/section/article/section/nav/span/a[2]/span;--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[2]/a/span[1];--;0.0
/html/body/div/section/section;--;1.98021760633
/html/body/div/section/article;--;0.0
/html/body/div/section/article/header/div/div/ul/li[1]/a/span;--;0.0
/html/body/div/section/article/div/section[1];--;0.0
/html/body/div/header/aside/div;--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/div/a/span[1];--;0.0
/html/body/div/section/h1/a/span[1];--;0.0
/html/body/div/header/nav/ul/li[2]/div/div/ul/li[1]/a/span[2];--;0.0
/html/body/div/header/nav/ul/li[3]/div/nav[2];--;1.17647058824
/html/body/div/header/nav/ul/li[2]/div/aside/ul/li[1]/a/span;--;0.0
